well_name,x,y,cluster,prob
25-021-05127-00-00,7.83477,6.8150873,3,0.5244455782007816
25-021-05135-00-00,1.6468285,3.264205,1,1.0
25-021-05137-00-00,6.348951,7.359579,-1,0.0
25-021-05144-00-00,5.633071,4.0532246,4,0.7786434891937617
25-021-05146-00-00,-0.3517397,4.2297955,1,0.7793083160812104
25-021-05147-00-00,1.6085038,4.287486,1,1.0
25-021-05222-00-00,-1.1756004,5.1703234,1,1.0
25-021-05227-00-00,3.6665905,9.407208,0,1.0
25-021-05230-00-00,1.9450455,3.230635,1,1.0
25-021-21001-00-00,1.6016674,3.286501,1,1.0
25-021-21005-00-00,0.59150755,3.1128082,1,0.8989295428901434
25-021-21006-00-00,0.15334065,3.2850122,1,1.0
25-021-21025-00-00,7.7184143,9.243089,0,1.0
25-021-21042-00-00,-0.3398223,3.4107957,1,1.0
25-021-21069-00-00,3.94038,6.3582673,4,1.0
25-021-21088-00-00,1.4137914,3.259355,1,1.0
25-021-21100-00-00,0.37394828,5.288493,1,0.9386026552019974
25-021-21112-00-00,3.2541533,6.748783,-1,0.0
25-021-21114-00-00,2.8638809,4.152088,-1,0.0
25-021-21115-00-00,1.5322332,6.0055685,1,1.0
25-021-21116-00-00,5.264625,5.598102,4,1.0
25-021-21117-00-00,-0.4159903,3.3290534,1,1.0
25-021-21120-00-00,-1.3372238,5.078185,1,1.0
25-021-21121-00-00,-0.33248603,3.3069375,1,1.0
25-021-21126-00-00,5.2412333,9.611162,0,1.0
25-021-21128-00-00,1.5318289,5.619772,1,1.0
25-021-21131-00-00,-0.49453455,3.638779,1,1.0
25-021-21135-00-00,-1.019422,4.655376,1,1.0
25-021-21140-00-00,7.471358,7.5987554,2,1.0
25-021-21144-00-00,-1.2153924,4.449209,1,1.0
25-021-21145-00-00,1.0465596,5.312333,1,0.9451577546525533
25-021-21149-00-00,-1.0598309,3.507476,1,1.0
25-021-21151-00-00,-0.8404801,3.4790409,1,1.0
25-021-21152-00-00,-1.0137318,4.7227798,1,1.0
25-021-21157-00-00,5.538358,9.771186,0,0.9465916593665775
25-021-21158-00-00,0.017063955,4.653859,1,0.8180193912514296
25-021-21160-00-00,-0.34208557,5.631123,1,0.7653106009246551
25-021-21162-00-00,-1.0107085,4.4935026,1,1.0
25-021-21163-00-00,0.50132406,5.701995,1,1.0
25-021-21164-00-00,4.371685,6.538075,-1,0.0
25-021-21165-00-00,-1.2477597,4.5685916,1,1.0
25-021-21168-00-00,-0.9745976,3.4196017,1,1.0
25-021-21174-00-00,0.48492134,5.852334,1,1.0
25-021-21175-00-00,-1.0731783,4.5658827,1,1.0
25-021-21176-00-00,-1.189652,4.78695,1,1.0
25-021-21177-00-00,1.4918702,5.8748026,1,1.0
25-021-21179-00-00,0.08352144,3.770809,1,1.0
25-021-21181-00-00,5.3658786,4.485083,4,1.0
25-021-21182-00-00,0.16167817,3.7627923,1,1.0
25-021-21183-00-00,5.421825,5.3062825,4,1.0
25-021-21184-00-00,5.3127236,2.4569254,6,0.6885471797173912
25-021-21185-00-00,5.2041855,3.8423333,-1,0.0
25-021-21186-00-00,3.7629938,5.8824453,-1,0.0
